2025/03/16	15:39:29	992feeb4-f3ff-440c-b533-3adfa0e076fc	/new-page	GET
2025/03/16	15:39:30	a201e396-0903-4a9a-942f-e66d541c91ed	/img/image-1.jpg	GET
2025/03/16	15:41:00	c7c7a5a3-cb0a-496e-8464-8589360fdcca	/new-page	GET
2025/03/16	15:41:25	deb33a46-53e6-4c20-87d4-11bd6bb8e71f	/new-page	GET
2025/03/16	15:41:25	afdb8947-68a6-4926-8861-9086f13747ad	/img/image-1.jpg	GET
2025/03/16	22:58:09	83b354b0-c7b4-44d2-8b65-e1412ee24b23	GET	undefined	/index.html
2025/03/16	22:58:09	93f5c877-266e-466f-b0ef-599c4e7ae938	GET	undefined	/css/style.css
2025/03/16	22:58:36	7db60f41-a41d-42e0-b57c-87bcf32ad0f5	OPTIONS	undefined	/
2025/03/16	22:58:36	b00e45fd-3319-412f-888b-f9306dd9c301	GET	undefined	/
2025/03/16	23:10:11	b60c6eeb-7ed2-41e2-9027-dac3abf6d0c9	OPTIONS	undefined	/
2025/03/16	23:10:11	32e9d6a7-dfc2-41a6-a6e1-b84d030f9f68	GET	undefined	/
2025/03/16	23:10:29	3ffc0822-af22-45a7-9114-6d057287151a	OPTIONS	undefined	/
2025/03/16	23:10:29	089b5d53-61ff-4d3a-9380-6a6fa71d45db	GET	undefined	/
2025/03/16	23:10:45	96555fd7-7889-42ae-ba87-8d0aeedcee08	OPTIONS	undefined	/
2025/03/16	23:10:45	3fa40e00-c381-4c31-9146-1bb2f61d03d6	GET	undefined	/
2025/03/16	23:14:39	0fae47de-4c36-473c-a547-45f64cfbce82	OPTIONS	undefined	/
2025/03/16	23:14:39	f04d6733-08c8-4641-bdb3-7f8fefdc5f7d	GET	undefined	/
2025/03/16	23:14:50	084950c8-511e-43bb-919c-f72a0eff6631	OPTIONS	undefined	/
2025/03/16	23:14:50	181cf1ea-cb95-4204-963e-5d07b59af0f0	GET	undefined	/
2025/03/16	23:17:49	dd086636-1e03-454b-95ed-3d0bff765b84	OPTIONS	undefined	/
2025/03/16	23:17:49	0926c249-c3ac-4031-a8dc-f2c53a2f9f8f	GET	undefined	/
2025/03/16	23:18:45	a96fb7b6-94f8-4648-8d04-a69e30ea95fa	GET	undefined	/index.html
2025/03/16	23:19:59	4806b132-afe6-4021-93ef-2d349d11b541	GET	undefined	/
2025/03/16	23:19:59	229bf440-0fc5-4df9-8300-783062ffbc4d	GET	undefined	/css/style.css
2025/03/16	23:27:06	fe2a010e-6555-499a-b66d-c61e67ddec7a	GET	undefined	/
2025/03/16	23:27:06	0223699f-9aaf-4783-af6f-336b2808d899	GET	undefined	/css/style.css
2025/03/16	23:28:40	c0f9b264-3b20-4eea-9228-aabc9be973bc	GET	undefined	/
2025/03/16	23:30:06	71776024-dccc-4694-84e4-25333c646793	GET	undefined	/
2025/03/16	23:30:06	9235d1d9-37f8-4f2d-93f3-0690f68424ea	GET	undefined	/css/style.css
2025/03/16	23:37:03	36c101b1-9bf5-4ea4-a92a-08331fba4877	GET	undefined	/404
2025/03/16	23:37:04	0455e656-ede0-44cf-92aa-8b695af83249	GET	undefined	/css/style.css
2025/03/16	23:37:12	d4553e04-7fb6-4835-94b1-8d4d981282b3	GET	undefined	/dev
2025/03/16	23:37:13	5071446e-c40f-4d46-bb74-489dd0ed824f	GET	undefined	/css/style.css
2025/03/17	01:19:01	b1f56d46-87cb-4aa3-bbab-a568715581be	GET	undefined	/dev
2025/03/17	01:19:01	5529fec1-5adb-4469-a16c-8c4f5ea54059	GET	undefined	/css/style.css
2025/03/17	01:19:04	8a297019-c767-415d-a913-d59afcf358a0	GET	undefined	/
2025/03/17	01:19:04	449b3cd4-0849-4321-bf01-feaeaee6138a	GET	undefined	/css/style.css
2025/03/17	01:19:22	273c6f68-ffd9-4739-a9b9-a7a71f92db18	GET	undefined	/subdir
2025/03/17	01:19:22	b1925a8d-4844-4efb-9d26-134dcc85f5d9	GET	undefined	/css/style.css
2025/03/17	01:19:42	3448aec7-b1fc-49ea-a538-e24ade08dfb3	GET	undefined	/subdir/test.html
2025/03/17	01:19:42	e7da8cf6-4b96-49b4-a817-6dbb1d9e34ed	GET	undefined	/subdir/css/style.css
2025/03/17	01:20:20	a35b1d72-2505-4a24-8761-7edd513f267e	GET	undefined	/subdir/test.html
2025/03/17	01:20:20	f98e3672-01eb-4682-ac12-1921c3d4d0d0	GET	undefined	/subdir/css/style.css
2025/03/17	01:21:08	50003d8c-7123-4c30-915b-c9053f676efe	GET	undefined	/subdir/test.html
2025/03/17	01:21:08	e825a4ca-0b05-4ace-94f5-a67f1457f546	GET	undefined	/subdir/css/style.css
2025/03/17	01:21:14	533af15c-9665-47c0-a852-cc8a25c9f2be	GET	undefined	/subdir/test.html
2025/03/17	01:21:14	5d566b1e-518f-4f29-8d2d-aa44c20b86f8	GET	undefined	/subdir/css/style.css
2025/03/17	01:21:18	8bab3f33-bd8a-4126-b456-d9eac303f88c	GET	undefined	/subdir
2025/03/17	01:21:18	1fc26380-43f3-4460-bae8-b23ee5a4c16a	GET	undefined	/css/style.css
2025/03/17	01:21:44	75e30b50-fe45-4da9-b379-1b938b0433f7	GET	undefined	/subdir/test.html
2025/03/17	01:21:44	b43d07d9-a803-47c1-9f31-d438f9a28511	GET	undefined	/subdir/css/style.css
2025/03/17	01:22:51	5a98c09e-9c15-4ec9-a30a-15797dd46075	GET	undefined	/subdir/test.html
2025/03/17	01:22:51	a2ae1f1e-eaf4-498d-93db-e33c2d027c47	GET	undefined	/subdir/css/style.css
2025/03/17	01:22:51	8453892a-ca2b-4c69-8ec8-14a21daf7bba	GET	undefined	/subdir/test.html
2025/03/17	01:22:52	06db028f-e997-415b-8492-95f6e94f6d5b	GET	undefined	/subdir/css/style.css
2025/03/17	01:22:52	c899466b-d39d-4252-ba3d-d6158cdb2e12	GET	undefined	/subdir/test.html
2025/03/17	01:22:52	26a0311f-56ef-4dbc-8bca-89230e4844da	GET	undefined	/subdir/css/style.css
2025/03/17	01:24:38	042034aa-e114-44b6-a847-ef027a54bcdf	GET	undefined	/subdir/dev
2025/03/17	01:24:38	748c6f6f-40e1-421a-b294-9ea5f79ef6ac	GET	undefined	/subdir/css/style.css
2025/03/17	01:26:56	0b0335ed-727f-4080-983b-ddf04683f817	GET	undefined	/subdir/dev
2025/03/17	01:26:56	147b1efb-3c74-41ce-a65c-687d6be6c304	GET	undefined	/subdir/css/style.css
2025/03/17	01:26:57	aa6371e4-fe41-49e4-af0f-e905b706ceb8	GET	undefined	/subdir/dev
2025/03/17	01:26:57	d5d09b24-e053-40c0-8831-aec5f46e35db	GET	undefined	/subdir/css/style.css
2025/03/17	01:27:19	075a9f25-b720-439c-824c-b880322b5458	GET	undefined	/subdir/dev
2025/03/17	01:27:19	092ae3e0-b81d-4157-a08a-37bf58413cad	GET	undefined	/subdir/css/style.css
2025/03/17	01:27:34	18094c8a-da21-4ca0-aeca-dece7bcee644	GET	undefined	/subdir/dev
2025/03/17	01:27:34	86b74d34-a482-4e33-a3df-ff10233f543b	GET	undefined	/subdir/css/style.css
2025/03/17	01:27:34	810cd3be-61bc-40e7-b08b-16972b9a9eaf	GET	undefined	/subdir/dev
2025/03/17	01:27:34	843e5b5a-7156-47df-b74d-ccb6480a6e0a	GET	undefined	/subdir/css/style.css
2025/03/17	01:27:35	ba5eb329-6ce5-4c83-95ad-d10b328b23a1	GET	undefined	/subdir/dev
2025/03/17	01:27:35	b38eb76b-94a0-42fd-9836-37d7f29e1153	GET	undefined	/subdir/css/style.css
2025/03/17	01:27:35	7b9938e3-d21a-4111-a798-167e2ec09ed6	GET	undefined	/subdir/dev
2025/03/17	01:27:35	865757ef-f6ab-4efe-993d-b018333081c4	GET	undefined	/subdir/css/style.css
2025/03/17	01:27:35	a0f26421-ab32-483a-9d45-4b4b435bbef5	GET	undefined	/subdir/dev
2025/03/17	01:27:35	344514d0-cc42-4cc3-aa32-46ff041b8d57	GET	undefined	/subdir/css/style.css
2025/03/17	01:27:35	f1de7e8e-fe77-4018-b6af-78f8ff12005a	GET	undefined	/subdir/dev
2025/03/17	01:27:35	e8a93e81-7ac8-4901-9f80-f8b756f67dc5	GET	undefined	/subdir/css/style.css
2025/03/17	01:27:35	5abf887d-39f4-464b-84cf-6249faadd19d	GET	undefined	/subdir/dev
2025/03/17	01:27:35	d070281c-2061-4abb-9f50-55b0584fc53f	GET	undefined	/subdir/css/style.css
2025/03/17	01:28:43	4d008e4c-62ab-4dff-ac54-f56292698f3c	GET	undefined	/subdir/dev
2025/03/17	01:28:43	0ceaa724-d6c1-41cc-813f-400c3d3543f2	GET	undefined	/subdir/css/style.css
2025/03/17	01:28:49	905d364c-7a28-46ed-b7e1-5a102fc342c0	GET	undefined	/subdir/index
2025/03/17	01:28:49	cbfe09e8-9385-4a4e-b8f3-d216610420c6	GET	undefined	/subdir/css/style.css
2025/03/17	01:28:59	2b94975f-7fc5-43c0-aa6a-af18fe1d93cf	GET	undefined	/subdir/dev
2025/03/17	01:28:59	dd7aa017-0d32-4e59-abed-6cb7a6f665e5	GET	undefined	/subdir/css/style.css
2025/03/17	01:35:59	7f098ada-c3ce-41c8-b7f9-ee02ee6582b6	GET	undefined	/root
2025/03/17	01:35:59	88d54c6e-5915-4adf-91af-476152beaae3	GET	undefined	/css/style.css
2025/03/17	01:37:32	4c360f46-4edd-440e-8cd6-642d6481382d	GET	undefined	/new-page
2025/03/17	01:37:32	1a9baef9-221e-4fd6-b9ac-188928ea0805	GET	undefined	/css/style.css
2025/03/17	01:37:32	1180987f-aab5-4bda-ac9e-b4e93edcbf9e	GET	undefined	/img/image-1.jpg
2025/03/17	01:37:58	a97c3ee4-caca-4bc1-b36c-b7f38d78f571	GET	undefined	/new-page.html
2025/03/17	01:37:58	210419a8-155f-4916-a8e8-2ff76664d423	GET	undefined	/css/style.css
2025/03/17	01:37:58	9d65a479-a784-487b-93d5-097807582029	GET	undefined	/img/image-1.jpg
2025/03/17	01:38:10	1e466b5c-a2fe-47f9-b3a5-a4c84e01936e	GET	undefined	/index.html
2025/03/17	01:38:10	f1616363-976f-4b4c-b66e-54f5bab4597f	GET	undefined	/css/style.css
